,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
CS,p7,─,─,─,─,─,─,d4,─,d4,─,─,─,s2,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,p7,s2,p4,n6,─,s4,─,─,─,─,─,p4,─,─,─,─,─,─,─,─,a4,s2,p7,a4,s4,─,a4,p4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,d4,─,─,n6,─,─,─,d4,─,p7,d4,─,─,s4,─,─,─,─,a4,─,s4,─,─,s2,─,a4,s2,d4,─,─,─,a4,s2,─,─,─,s4,d4,p4,─,p4,─,p7,─,─,─,─,a4,n6,─,d4,p7,a4,s4,n6,─,─,─,a4,─,─,─,─,─,─,─,─,n6,a4,s4,─,d4,a4,s4,─,─,─,─,─,n6,─,─,d4,─,─,s2,p4,─,─,─,p4,─,s4,─,─,─,─,s4,p7,─,─,─,p4,n6,─,─,n6,─,─,─,s2,─,─,─,a4,s2,─,─,p4,─,n6,s4,─,─,─,a4,─,─,a4,─,─,─,─,a4,s4,─,─,─,a4,p4,n6,─,─,p7,n6,─,─,─,─,─,─,─,p7,n6,─,p4,─,a4,─,─,─,─,─,─,s4,─,─,─,─,a4,p4,─,─,a4,─,─,─,s4,─,─,─,─,─,a4,─,─,─,s2,─,─,─,─,─,─,─,─,n6,─,p7,─,─,p4,─,s2,─,─,─,─,─,a4,─,─,─,s2,─,─,─,─,─,─,a4,s4,─,─,─,─,s2,a4,─,─,─,p4,─,p7,─,─,p7,a4,a4,s4,─,─,p4,─,a4,─,─,─,a4,s2,─,─,─,─,─,a4,─,s4,─,s4,─,─,p4,a4,─,p4,─,─,─,d4,─,─,─,─,─,─,─,s2,─,─,d4,p7,─,─,─,─,─,─,─,119093,2,47,57,0,0,0,0,0,13,93,0,
CT,─,a7,s2,p4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,p4,─,─,a4,─,n6,a7,s4,s2,p4,─,p4,a4,─,─,s2,p4,─,a4,s4,─,─,a7,─,s4,p4,─,─,─,s4,─,s2,─,s2,─,a7,n6,─,─,─,s4,a7,s4,n6,─,─,─,─,─,─,s2,─,─,─,s2,─,s4,─,s2,─,─,p4,n6,p4,─,─,─,a4,s4,p4,n6,─,─,─,─,─,s4,─,a4,a4,─,─,─,s2,p4,─,p4,─,a4,a4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s1,s4,─,─,─,─,─,a4,s2,n6,s4,─,n6,─,─,a7,─,─,─,─,─,s2,a4,p4,─,─,a4,─,─,a7,a4,─,─,─,s2,─,─,─,─,─,─,─,─,─,─,─,─,─,s2,a7,s4,─,─,s4,─,─,─,─,─,─,─,─,─,n6,─,n6,─,─,a7,s4,─,─,─,─,s4,─,─,─,s4,─,─,─,a7,─,p4,─,a4,─,─,─,─,─,s2,n6,─,p4,─,─,s2,─,s4,─,─,s2,n6,a7,─,─,─,─,─,─,─,─,─,─,s4,─,─,a4,─,─,─,─,p4,─,a7,─,─,─,─,─,n6,a4,─,─,n6,n6,─,a4,─,─,─,─,─,─,─,─,─,a4,p4,─,─,─,─,─,─,─,─,a4,p4,─,─,s4,─,─,a7,─,─,─,─,─,─,a7,─,a4,s2,p4,─,─,a4,─,─,─,─,─,a4,─,─,─,─,n6,─,─,─,─,─,─,─,n6,─,─,─,─,─,─,─,a4,a4,p4,─,─,─,─,─,─,─,─,a7,s2,─,─,─,─,a4,─,a4,s2,s4,─,─,─,─,a4,─,─,s4,─,120094,1,42,61,0,0,0,0,0,16,94,0,
CU,─,a4,s2,n3,s2,a4,─,─,─,s2,─,─,s4,n3,─,─,─,─,─,a4,─,s4,─,─,─,─,a4,─,─,─,─,─,─,d4,p7,─,s2,─,─,─,d4,─,─,─,─,─,─,a4,p7,─,─,n3,a4,─,a4,s4,─,─,a4,─,n3,d4,─,a4,─,─,─,─,a4,n3,a4,─,─,─,─,s2,p7,─,─,─,─,─,n3,─,─,s2,p7,─,─,n3,a4,p7,─,─,d4,─,─,─,─,n3,s4,─,n3,a4,─,─,a4,─,─,─,─,─,─,n3,s2,p7,─,─,─,s2,p7,─,─,─,─,─,─,─,s2,─,d4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a4,─,─,─,─,─,s2,─,─,s4,─,─,─,─,─,─,─,─,d4,─,p7,─,─,s2,─,─,─,─,a4,─,─,p7,─,─,─,a4,s4,─,─,─,─,─,n3,─,d4,d4,─,─,─,d4,─,─,─,─,─,a4,─,─,─,─,s4,─,─,p7,─,─,─,─,n3,n1,─,─,─,─,d4,─,─,─,p7,n3,s2,─,a4,─,a4,─,─,─,a4,n3,p7,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a4,s4,a4,p7,─,─,─,p7,a4,s4,p7,─,p7,─,─,─,─,─,─,─,─,s4,p7,n3,─,s2,p7,─,d4,n3,─,a4,s4,p7,s4,─,s2,─,a4,s2,─,─,─,─,─,n3,d4,─,s2,n3,d4,s2,p7,─,─,─,a4,─,d4,─,─,a4,s2,─,s4,─,─,─,─,─,─,─,─,p7,a4,─,─,─,─,─,─,─,─,─,─,─,s2,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,d4,p7,─,─,─,─,─,─,─,─,113126,2,35,52,5,0,0,0,0,19,126,0,
CV,─,s4,n6,─,─,─,─,a4,─,n3,─,─,─,p4,─,─,─,─,a4,n3,s4,a7,─,─,─,s2,p4,─,─,─,─,a4,p4,─,─,─,n6,─,─,─,s2,a7,p4,─,─,─,a4,─,s4,─,a4,─,─,a7,s4,p4,a2,s2,─,─,s4,─,n6,a4,p4,─,s4,n3,a7,─,s2,─,─,─,n3,─,─,─,─,─,─,a4,─,─,─,─,─,─,─,─,─,─,n6,─,─,s4,─,─,─,─,─,─,─,─,─,n6,─,a4,─,─,a7,─,─,─,─,a7,n3,─,n6,─,s4,n3,─,─,─,n3,─,─,p4,n3,─,─,p4,n3,─,─,s2,n6,─,─,─,─,─,─,─,a7,─,─,─,─,s2,─,a7,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,n6,─,─,─,─,─,─,─,─,─,a7,n6,─,─,a4,─,s4,─,─,─,─,─,a4,─,s2,─,─,s4,a7,n6,a4,─,a4,─,a4,─,a4,─,a7,─,n3,─,─,─,─,─,─,─,n3,─,─,─,─,a4,─,─,─,─,─,s2,─,─,a7,s2,─,s4,p4,─,n3,─,─,─,─,─,n3,─,n3,p4,a4,─,─,─,─,n6,a7,─,─,a4,p4,─,─,n3,─,─,─,─,p4,a7,n6,─,─,─,─,─,─,a4,s4,─,p4,─,─,─,─,a4,─,─,─,─,─,─,s2,─,─,─,─,a4,s2,─,n6,─,─,─,─,a4,n6,a7,─,─,─,─,p4,n3,─,─,─,─,─,n6,─,─,─,─,─,─,─,s2,─,─,─,─,─,s2,a4,─,─,─,─,a7,s2,─,─,─,─,─,─,─,s4,─,─,a7,n3,─,─,─,─,a7,─,─,─,─,a4,─,─,p4,n3,119146,1,46,58,0,0,0,0,0,14,146,0,
CW,─,─,─,─,─,d4,─,─,─,─,─,n6,n3,─,─,─,s4,─,─,─,─,─,─,d4,p7,d4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,p7,─,─,─,s4,─,─,s4,─,─,d4,n6,─,─,─,d4,d4,─,p4,─,─,─,─,n6,d4,d4,p7,─,p4,─,p4,─,a7,─,n3,─,d4,n3,p4,─,p4,─,─,─,─,─,─,n3,─,p7,─,─,p7,d4,─,a7,s4,─,─,─,─,─,─,p7,n6,─,─,p4,─,─,s4,p4,n6,a7,d4,n3,─,─,─,s4,n6,n3,─,p4,─,s4,p4,n3,p7,─,─,─,─,─,a7,n3,─,─,p4,n6,a7,s4,─,a7,─,─,─,a7,─,─,─,─,─,─,a7,n6,a7,─,─,a7,─,─,─,─,─,p7,─,─,─,d4,─,─,a7,─,─,─,─,─,─,─,─,─,─,─,─,─,─,d4,p4,─,d4,─,─,─,─,a7,─,─,─,─,─,─,─,─,─,─,─,p7,n3,─,─,─,─,─,─,─,d4,a7,d4,─,─,─,a7,─,n6,a7,─,─,─,p7,─,a7,─,a7,n6,─,─,─,─,─,─,─,─,─,─,─,─,s4,p4,n3,─,─,─,s4,─,─,─,─,─,a7,─,p7,─,─,─,─,─,─,─,─,─,─,─,─,p4,─,s4,p7,─,─,─,─,─,a7,s4,p7,─,─,─,─,─,n6,─,d4,─,─,─,p7,n3,─,─,─,─,s4,─,─,─,─,s4,─,n3,─,─,─,─,─,─,p7,n3,─,─,─,─,d4,p4,─,a7,n3,─,─,─,n6,─,─,─,─,─,─,p4,n3,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,139103,1,89,21,12,0,0,0,0,16,103,0,
CX,a4,─,p7,─,a4,─,─,s4,n6,d4,─,─,a4,p7,─,─,─,─,─,─,─,─,─,s4,p7,a4,p7,n3,a4,s4,─,s4,─,─,─,─,─,a4,n6,─,─,─,─,s4,n3,─,─,─,─,─,n3,─,─,d4,p7,n6,─,d4,─,─,p7,─,─,─,s4,─,─,─,d4,a4,─,s4,─,─,─,─,─,─,─,─,─,─,─,d4,─,a4,─,─,─,─,─,s4,n6,─,s4,─,─,─,─,s4,─,─,a4,n6,p7,n3,─,─,d4,n6,a4,p7,d4,─,─,n3,─,d4,─,─,─,s4,a4,─,─,s4,─,─,p7,n3,─,─,─,─,─,─,─,─,p7,─,─,─,d4,─,─,─,─,─,─,─,─,a4,a4,─,a4,─,─,─,p7,n3,─,─,─,s4,p7,─,─,─,─,d4,─,─,p7,─,─,─,─,─,─,─,p7,n3,a4,a4,─,─,─,─,─,n6,─,p7,─,─,d4,─,─,d4,p7,─,─,─,─,d4,─,n3,─,─,─,─,a4,n3,─,─,─,p7,─,a4,s4,─,─,─,─,─,n3,─,─,─,─,n3,─,d4,─,─,─,─,─,─,n6,─,─,n6,─,─,─,─,─,─,─,─,─,─,─,a4,─,─,─,d4,─,─,─,p7,─,─,─,─,─,p7,─,─,─,─,n6,─,─,─,p7,─,─,─,n3,d4,─,─,─,─,a4,s4,─,─,s4,─,─,─,─,─,─,─,a4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s4,─,─,s4,─,p7,n6,─,─,─,─,─,─,─,p7,─,─,─,─,─,n6,─,─,d4,p7,─,─,─,─,s4,─,─,─,─,─,─,─,─,s4,a4,n3,─,─,─,─,d4,144136,2,105,14,10,0,0,0,0,13,136,0,
CY,─,─,─,n3,─,─,─,d4,n3,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,d4,n6,─,d4,─,p7,─,s4,─,d4,─,─,n3,─,─,─,─,─,d7,─,n6,─,n3,─,─,n6,s4,─,─,─,─,s4,n3,s4,d4,n6,─,─,─,─,─,─,p7,─,─,a4,─,─,─,─,─,n6,d4,─,─,p7,n6,─,─,s4,n3,s4,─,─,─,─,d4,─,s2,n3,─,─,─,─,─,p7,n3,─,a4,n3,─,─,d4,─,─,─,s2,d4,n3,d4,─,d4,a4,p7,─,─,─,─,─,─,─,─,─,─,─,─,s2,─,─,─,─,s4,p7,─,─,n3,─,─,─,n3,─,─,─,─,p7,─,p7,n3,─,n3,─,s4,─,─,─,─,─,d4,─,s4,p7,─,─,─,─,─,─,─,─,p7,─,─,─,─,─,─,─,─,─,─,─,a4,─,─,a4,─,s2,p7,─,─,─,s4,─,─,a4,─,─,p7,─,─,─,─,─,─,─,─,d4,─,─,d4,─,─,─,─,─,p7,─,─,─,a4,─,─,─,s4,─,a4,s4,─,d4,─,─,─,─,─,s2,─,n3,─,─,─,a4,─,a4,p7,─,─,─,a4,n3,─,─,─,─,─,─,a4,d4,─,─,─,n6,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s2,─,a4,─,s2,p7,─,─,─,─,─,n6,─,─,─,─,─,n6,─,─,s4,─,─,a4,s4,n3,─,─,─,─,─,─,─,─,─,─,─,─,─,─,d4,─,─,─,─,s4,n6,a4,─,p7,─,p7,─,─,a4,─,s2,p7,n3,─,─,s4,─,─,a4,s2,─,─,─,─,─,─,p7,n3,─,p7,─,─,151155,0,113,24,4,0,0,0,0,10,155,0,
CZ,─,─,─,─,─,─,d4,─,n3,─,─,─,─,a7,p4,─,─,─,s2,─,p4,─,─,d4,─,─,d4,p4,─,─,─,─,s4,p4,n3,d4,a7,p4,─,─,─,d2,s2,─,─,s2,─,─,─,a7,─,─,─,n3,─,─,─,─,─,n3,─,─,─,─,─,─,d4,─,a7,─,─,─,─,─,a7,─,─,─,─,─,a7,s4,p4,a7,s2,─,p4,─,─,─,s4,─,─,s4,─,─,─,─,─,p4,─,d4,n3,─,─,─,─,d4,─,─,a7,d4,─,s2,─,p4,─,─,─,─,─,d4,─,─,s4,n3,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,p4,n3,a7,s2,─,s2,─,─,─,─,─,─,─,─,─,─,─,s2,─,─,─,─,s4,p4,─,─,─,─,a7,─,d4,n3,─,a7,p4,n3,n3,─,n3,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s2,─,─,─,a7,─,p4,─,─,s4,n3,─,s2,─,─,─,─,─,─,s2,─,d4,─,d4,─,─,─,─,─,─,─,─,─,─,─,─,a7,─,─,─,─,p4,─,─,─,─,p4,─,─,a7,s4,n3,s4,n3,─,─,─,─,─,─,d4,p4,─,─,─,─,─,a7,─,─,─,─,a7,s2,─,─,─,n3,─,─,─,d4,a7,p4,─,d4,n3,─,─,s4,─,s4,n3,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s4,─,─,─,─,─,─,p4,─,─,a7,─,─,d4,─,─,─,─,─,─,─,─,n3,─,d4,p4,─,─,─,─,s4,─,─,─,s2,─,s4,─,─,s2,─,─,─,a7,p4,─,─,─,─,s4,p4,─,d4,n3,s4,─,a7,152110,1,108,21,13,0,0,0,0,9,110,0,
DA,n3,a7,s4,─,─,─,─,─,n3,p7,─,s4,─,a7,p7,─,s2,n6,─,─,s4,a7,s4,─,─,─,─,─,a7,s2,─,─,─,─,─,─,p7,─,─,─,─,p7,─,s2,p7,─,n3,─,─,─,a7,─,─,s4,a7,a7,p7,─,n3,s2,n3,s4,─,─,p7,─,─,─,a7,─,─,a7,─,p7,─,─,n3,─,s4,n6,─,─,─,─,─,─,─,s4,─,─,─,─,─,─,─,─,─,─,n3,p7,─,─,s4,─,─,─,─,p7,n3,n3,─,─,─,─,n3,─,n3,─,─,─,s4,─,p7,n3,─,s4,─,─,p7,a7,─,─,─,─,─,─,─,─,─,─,─,n6,─,─,─,─,─,─,s4,─,─,n3,─,─,─,─,n3,s2,p7,p7,n3,─,─,─,─,a7,─,n3,p7,─,─,p7,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,p7,─,─,p7,n6,s2,─,p7,─,─,─,─,─,─,a7,s2,─,p7,─,─,─,n6,─,─,─,─,a7,p5,─,─,─,─,─,n3,─,─,─,─,─,─,a7,s4,─,─,n6,a7,─,─,─,─,─,─,─,─,─,─,─,n6,a7,─,s4,─,a7,p7,─,─,─,─,─,s2,─,─,─,─,─,─,─,─,─,a7,─,a7,─,s4,─,─,─,─,─,─,─,─,─,─,s4,─,p7,n3,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a7,s4,─,─,─,─,─,─,a7,s2,─,a7,p7,─,─,─,─,─,─,─,n3,─,─,─,─,─,a7,s2,─,─,─,─,p7,a7,p7,─,─,s2,─,─,s4,─,─,n6,─,─,─,─,─,n6,─,─,─,─,n6,─,─,─,─,a7,142116,0,97,20,8,0,0,0,0,17,116,0,
DB,─,─,n6,─,s2,─,s2,p7,─,s2,n6,p7,─,─,d4,─,n3,─,─,─,d4,p7,─,n6,─,p7,─,─,─,d4,p7,─,─,s2,─,─,─,─,s4,n3,─,─,─,n6,─,─,a4,n6,─,─,─,─,─,─,─,s4,─,─,n3,─,a4,p7,─,s4,n3,─,─,n3,─,─,s2,p4,─,─,─,─,─,─,n6,─,s2,─,─,─,─,─,─,n3,─,─,─,─,─,─,s2,─,─,─,d4,p7,─,─,─,─,─,s4,─,─,─,─,─,a4,p7,─,p7,a4,n6,n3,p7,─,─,d4,─,─,─,─,p7,n6,─,n3,─,d4,p4,n3,─,─,─,─,─,d4,d4,─,p4,─,p4,d4,─,a4,p4,─,─,p7,─,─,a4,─,d4,─,─,─,─,─,─,─,─,d4,p7,a4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s2,n3,a4,s4,─,n6,─,a4,s2,─,─,─,─,─,─,─,d4,─,─,─,─,─,s4,─,─,─,─,─,─,─,─,─,─,─,─,p7,─,─,─,─,p4,─,─,─,─,─,─,s4,─,─,n3,d4,─,─,─,─,─,─,─,d4,─,─,─,─,─,─,─,─,─,─,a4,s4,─,─,─,─,─,─,─,a4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s4,p7,─,n3,─,d4,─,─,─,─,─,─,d4,p4,n3,─,─,s4,─,─,n6,─,─,s2,p4,─,─,─,─,─,─,─,s4,─,─,─,n3,s2,─,─,n6,─,─,d4,n6,─,─,a4,─,s4,─,─,─,─,─,a4,─,─,─,p7,n3,─,─,─,─,s2,d4,─,─,─,─,p1,─,p7,n6,145093,0,103,22,9,0,0,0,0,11,93,0,
DC,d4,n6,─,─,─,a4,s2,─,─,─,a7,─,─,─,─,─,─,─,n6,─,─,p4,─,d4,─,─,a7,s2,─,n6,─,n6,─,─,─,─,d4,─,─,─,a4,─,a7,p4,─,d4,d4,─,─,d4,p4,n6,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a7,s2,─,─,n6,─,─,─,─,─,─,─,─,─,─,─,a4,s2,n6,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a7,─,a7,d4,─,─,─,a4,a4,n6,─,─,s2,─,─,─,─,d4,─,─,─,─,─,a7,─,n6,─,─,─,a4,n6,─,─,─,─,s2,p4,─,a4,p4,a4,p4,─,─,d4,─,a4,n6,─,─,─,a7,─,─,p4,n6,─,─,d4,n6,n5,─,─,s2,d4,n6,a4,s2,─,─,─,p4,─,─,─,a7,s2,─,─,─,─,p4,n6,a4,─,─,─,─,─,d4,─,d4,n6,─,d4,n6,p4,─,─,─,─,─,─,─,─,─,─,p4,─,─,n6,─,─,─,─,─,─,─,─,─,s2,─,─,d4,─,─,─,a4,n6,a7,─,p4,─,─,a4,─,─,─,─,─,─,a7,─,─,s2,n6,─,d4,─,─,p4,─,─,─,─,─,d4,a4,─,─,─,─,d4,p4,─,a7,─,─,─,─,a7,─,s2,─,─,─,s2,d4,─,─,─,─,─,─,─,─,─,─,─,─,─,a4,─,─,a4,─,─,─,a7,p4,─,─,a4,a7,─,─,─,─,─,─,─,─,─,─,a7,p4,─,─,─,─,─,s2,─,p4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,p4,─,─,─,─,d4,─,─,─,─,a7,a4,─,─,─,a4,─,─,─,130095,0,94,16,7,0,0,0,0,13,95,0,
DD,─,─,─,─,n3,─,─,─,─,─,─,─,─,d4,─,─,─,─,─,─,─,─,s4,─,a4,─,─,p4,n3,d4,─,─,─,─,─,─,a4,─,─,─,─,─,─,─,s4,─,─,─,─,d4,─,─,a4,─,n3,─,d4,─,─,─,─,─,─,p4,─,─,─,─,─,a7,p4,─,─,n3,a7,─,─,─,─,─,d4,─,a4,n3,─,a7,p4,d4,─,─,─,─,─,─,─,─,─,─,p4,─,─,─,s4,─,─,─,a4,─,─,─,─,s4,p4,n3,─,a4,p4,─,─,a4,p4,a4,s4,a7,p4,─,─,n2,─,─,─,d4,─,─,─,─,d4,p4,─,─,─,─,n3,─,─,─,─,─,a7,s4,─,─,─,─,s4,n3,─,─,─,s4,n3,─,a7,a7,s4,p4,n3,a7,─,n3,─,p4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a4,s4,─,a4,─,a4,d4,─,─,─,─,─,─,─,p4,─,─,p4,─,n3,n3,─,n3,s4,─,─,a4,─,─,─,a7,─,─,─,d4,─,─,─,─,─,─,─,─,d4,─,a7,a7,a7,─,─,─,─,─,─,─,─,─,a4,─,─,─,─,─,─,─,─,s4,n3,─,d4,─,a7,n3,─,n3,a7,─,─,─,n3,a4,─,p4,n3,─,─,─,─,─,─,─,─,─,─,─,─,─,─,p4,─,─,─,p4,─,d4,─,─,n3,─,─,─,─,─,─,p4,a7,─,─,s4,─,─,─,─,s4,n3,─,d4,─,─,─,─,─,─,a7,─,─,─,─,─,─,─,─,p4,n6,─,─,─,─,─,a7,─,a7,─,─,─,─,a4,─,─,─,p4,─,─,─,─,d4,─,─,a4,p4,─,─,─,─,a4,p4,154109,2,103,21,12,0,1,0,0,15,109,0,
DE,─,a4,p7,a7,n6,─,─,─,─,─,─,a4,─,─,─,─,─,─,─,─,─,─,n6,─,─,─,n3,─,─,─,─,n6,n6,n6,─,─,n3,─,─,n6,─,─,a4,n3,─,─,─,a4,s4,─,─,─,─,s2,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a7,a7,─,─,p7,n6,a7,s2,─,s2,n3,─,─,─,─,─,a7,─,a4,─,─,─,─,─,─,─,s4,─,a7,─,a4,─,─,─,a4,─,─,─,n3,s2,n6,─,n6,─,─,s2,n3,─,─,─,s4,n6,a4,─,a4,p7,a4,p7,n3,─,─,─,─,─,─,─,─,─,─,─,─,─,s2,a4,─,p7,a7,─,a4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s4,n6,─,─,─,─,─,─,─,─,─,─,a7,─,n3,a7,s4,─,─,a7,─,─,─,─,─,─,─,a4,n6,─,─,s2,─,a4,─,a7,─,s4,─,─,─,a7,s2,p7,─,─,─,─,─,─,─,─,─,─,s4,─,─,─,─,n6,─,─,s4,n3,s4,n3,─,a7,─,n6,─,n6,a7,s2,─,─,─,─,─,s4,p7,─,─,─,─,p7,─,─,─,a4,─,─,─,─,─,─,a7,a7,─,p7,─,─,─,─,s2,─,─,a7,n3,─,─,─,s2,─,n3,─,─,─,─,─,─,─,─,s4,─,─,─,─,─,s4,a7,─,─,s4,n3,─,─,─,─,─,n6,─,─,─,─,n3,─,─,─,─,─,─,─,s2,─,─,a7,a7,─,a7,─,─,─,s2,─,a7,a7,─,─,─,s4,─,─,─,─,n6,─,─,─,─,s2,─,─,─,─,─,a7,─,─,s2,─,─,─,─,n3,─,149131,0,100,19,13,0,0,0,0,17,131,0,
DF,d4,─,a7,─,─,─,a4,─,─,─,─,─,─,─,─,d4,a4,s2,p7,n6,─,a4,p4,─,─,p4,n3,─,─,d4,p7,─,─,─,n3,s2,n3,d4,p4,─,─,a7,─,─,─,─,n6,─,─,─,─,─,n6,─,p4,─,─,─,─,a4,─,─,─,─,─,─,─,─,n6,─,d4,─,─,─,─,─,─,─,s2,a4,─,─,─,n6,a7,─,─,─,n6,a7,n6,─,─,─,a7,─,─,s2,─,─,─,─,a4,─,─,a4,─,n6,─,─,─,─,─,d4,─,─,p4,─,─,─,a4,─,─,─,─,─,─,─,─,─,─,d4,─,a4,n3,n3,─,─,─,─,─,─,─,n6,p4,─,n3,─,─,─,n6,a7,─,─,─,─,─,a7,a7,─,a7,─,a7,p4,─,─,d4,p7,n6,s2,─,─,─,─,─,─,─,─,n3,─,─,a7,─,─,─,p7,n6,a4,─,─,p7,n3,─,─,─,─,─,─,─,─,─,─,p7,─,─,─,─,─,─,p7,─,a4,s2,─,─,a4,─,─,p7,─,─,─,d4,p7,a4,s2,a4,p7,─,─,─,─,─,a7,p4,─,─,─,─,p7,─,p7,─,─,─,─,─,d4,─,p4,n6,─,─,─,─,a4,─,─,─,─,─,a7,p7,─,─,─,─,─,n6,─,p7,─,─,─,─,─,─,p7,a4,s2,─,─,─,─,─,─,─,─,─,─,─,─,n6,─,a4,─,─,─,─,─,─,─,p7,─,─,─,─,─,─,─,─,─,─,─,─,a7,─,─,─,─,d4,a7,─,─,─,─,─,─,─,─,─,a4,a4,p7,─,─,p7,a7,─,─,─,─,d4,─,n6,─,─,─,─,─,─,─,─,─,─,─,─,─,─,d4,n6,─,p7,─,143105,1,95,16,13,0,0,0,0,18,105,0,
DG,─,─,─,─,─,─,p4,─,─,─,─,─,a4,s4,─,─,─,a4,s2,─,─,p4,─,─,─,a4,─,─,─,─,d4,─,─,─,─,─,s2,─,─,─,─,─,s4,a4,─,─,─,d4,p4,n3,─,─,─,─,d4,─,─,─,─,d4,─,─,─,─,a4,─,─,─,s4,─,─,─,a7,─,─,─,a7,─,s2,─,─,─,─,─,a4,─,─,s2,─,p4,a4,─,─,─,─,─,p4,p5,p4,s4,─,─,─,─,─,─,─,a4,s4,─,a4,─,─,s4,p4,─,─,─,─,a4,─,─,─,─,─,─,─,─,a7,─,─,─,a4,s2,─,─,─,s4,p4,─,─,s4,p4,a4,─,─,─,─,─,a4,s2,─,─,─,─,─,─,a4,─,a7,─,─,─,a7,─,a7,─,a7,─,d4,d4,─,d4,─,─,─,─,─,─,d4,─,─,─,p4,─,a7,─,─,─,a4,─,─,─,─,─,─,─,─,s4,─,─,p4,─,─,d4,─,─,─,d4,d1,a4,─,a4,s4,─,─,─,─,s4,─,─,─,s4,─,─,─,a7,─,p4,─,─,─,─,a7,─,─,─,─,s4,─,─,─,─,─,─,─,─,─,─,─,─,─,s2,p4,─,─,─,a4,─,─,─,─,─,─,─,─,─,─,d4,─,─,─,p4,─,─,s2,─,─,─,─,─,d4,a4,─,s4,p4,─,p4,─,p4,n3,─,─,─,d4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,p4,─,─,─,─,─,─,─,a7,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a4,─,─,─,─,─,s2,p4,─,─,─,─,─,─,─,a4,a7,s2,─,─,─,s4,33109,0,0,14,9,0,2,0,0,8,109,0,
